citeKey	type	author	title	date
grutzmacher_trampas_2006-1	article	Grützmacher Lukasz	Las trampas del concepto “la nueva novela histórica” y de la retórica de la \textithistoria postoficial	NA
lukacs_forma_nodate-1	article	Lukacs Georg	La forma clásica de la novela histórica	NA
martinez_esteban_nodate	article	Martínez Carlos Dámaso	Esteban Echeverría y la fundación de una literatura nacional	NA
miranda_eduarda_nodate	article	Miranda Lucía	Eduarda Mansilla de García	NA
eliade_mito_1992	book	Eliade Mircea	Mito y realidad	NA
thomas_anderes_nodate	article	Thomas Konrad	Ein anderes Verständnis von Gewalt	NA
iglesia_echeverrientre_2014	article	Iglesia Cristina	Echeverría entre dos siglos : las fundaciones de la crítica	NA
rogg_esteban_nodate	article	Rogg Alfredo A	ESTEBAN ECHEVERRÍA Y EL ROMANTICISMO EUROPEO	NA
alba_mitos_nodate	article	Alba José Antonio Millán	LOS MITOS SEGÚN RENÉ GIRARD	NA
vinas_literatura_nodate	article	Viñas David	Literatura argentina y realidad política	NA
calderon_de_la_barca_puente_2016	book	Calderón de la Barca Pedro	La puente de Mantible	NA
lttii_hablan_nodate	article	Lttíí D	HABLAN EN ELLA LAS PERSONAS SIGUIENTIS.	NA
mansilla_excursion_2007	book	Mansilla Lucio V. and Sosnowski Saúl	Una excursion a los indios ranqueles	NA
juan_canto_nodate	article	Juan Don	Canto 5 Written: Ravenna October 16th-November 27th 1820 Fair-copying by Byron finished Ravenna December 26th 1820	NA
montero_modo_1997	article	Montero Juan	Un modo de diálogo intertextual. El epígrafe literario en Cántico de Jorge Guillén.	NA
verboven_short_nodate	article	Verboven Koenraad and Carlier Myriam and Dumolyn Jan	A short manual to the art of prosopography	NA
latour_we_1993	book	Latour Bruno	We have never been modern	NA
anderson_taking_nodate	article	Anderson Sheila and Blanke Tobias	Taking the Long View: From e-Science Humanities to Humanities Digital Ecosystems	NA
van_zundert_if_nodate	article	van Zundert Joris	If You Build It Will We Come? Large Scale Digital Infrastructures as a Dead End for Digital Humanities	NA
plaoul_171_nodate	article	Plaoul Petrus	17.1 \textbar Drei Beispiele zur Einführung	NA
elmasri_grundlagen_2007	book	Elmasri Ramez and Navathe Shamkant B.	Grundlagen von Datenbanksystemen	NA
jannidis_digital_2017	book	NA	Digital Humanities: eine Einführung	NA
